batter,total_runs,batting_avg,strike_rate,innings,dismissals,balls_faced,most_active_year
Navdeep Saini,33,8.25,89.1891891891892,7,4.0,37,2020
D Salunkhe,33,16.5,137.5,3,2.0,24,2008
RJ Peterson,32,10.666666666666666,106.66666666666667,5,3.0,30,2012
Basil Thampi,32,32.0,91.42857142857143,7,1.0,35,2017
AT Carey,32,16.0,110.34482758620689,3,2.0,29,2020
T Taibu,31,10.333333333333334,119.23076923076923,3,3.0,26,2008
Arshdeep Singh,31,5.166666666666667,67.3913043478261,13,6.0,46,2022
S Sriram,31,15.5,86.11111111111111,2,2.0,36,2010
G Coetzee,31,5.166666666666667,93.93939393939394,7,6.0,33,2024
NS Naik,31,7.75,62.0,4,4.0,50,2016
VH Zol,29,14.5,111.53846153846155,2,2.0,26,2014
Noor Ahmad,29,2.9,55.769230769230774,13,10.0,52,2026
J Syed Mohammad,29,14.5,111.53846153846155,5,2.0,26,2011
SB Jakati,28,28.0,96.55172413793103,5,1.0,29,2009
AS Joseph,27,27.0,84.375,5,1.0,32,2019
AS Roy,27,5.4,96.42857142857143,9,5.0,28,2023
MD Shanaka,26,13.0,100.0,3,2.0,26,2023
CV Varun,26,5.2,54.166666666666664,12,5.0,48,2022
JM Kemp,26,13.0,108.33333333333333,2,2.0,24,2010
AB Dinda,26,2.6,54.166666666666664,16,10.0,48,2014
AS Rajpoot,26,5.2,63.41463414634146,7,5.0,41,2018
NL McCullum,26,26.0,118.18181818181819,2,1.0,22,2011
DJ Malan,26,26.0,100.0,1,1.0,26,2021
TL Seifert,26,8.666666666666666,113.04347826086956,3,3.0,23,2022
PJ Sangwan,26,3.25,59.09090909090909,14,8.0,44,2010
Mohsin Khan,25,6.25,100.0,6,4.0,25,2022
A Choudhary,25,25.0,125.0,3,1.0,20,2017
Akash Deep,25,8.333333333333334,178.57142857142858,5,3.0,14,2023
S Chanderpaul,25,8.333333333333334,80.64516129032258,3,3.0,31,2008
Sanvir Singh,25,12.5,119.04761904761905,5,2.0,21,2024
Kartik Sharma,25,8.333333333333334,119.04761904761905,3,3.0,21,2026
KC Cariappa,24,8.0,114.28571428571428,5,3.0,21,2016
Tanush Kotian,24,24.0,77.41935483870968,1,1.0,31,2024
AJ Turner,24,4.8,85.71428571428571,6,5.0,28,2024
ER Dwivedi,24,12.0,171.42857142857142,2,2.0,14,2016
MA Khote,24,12.0,109.09090909090908,3,2.0,22,2008
J Arunkumar,23,7.666666666666667,100.0,3,3.0,23,2008
Umran Malik,23,11.5,143.75,5,2.0,16,2022
GF Linde,23,11.5,135.29411764705884,2,2.0,17,2026
BMAJ Mendis,23,7.666666666666667,85.18518518518519,3,3.0,27,2013
AF Milne,23,5.75,79.3103448275862,6,4.0,29,2021
P Dubey,23,23.0,69.6969696969697,2,1.0,33,2023
SW Tait,23,7.666666666666667,88.46153846153845,5,3.0,26,2010
Yudhvir Singh,22,5.5,137.5,4,4.0,16,2024
GB Hogg,22,7.333333333333333,100.0,4,3.0,22,2012
HE van der Dussen,22,11.0,91.66666666666666,3,2.0,24,2022
XC Bartlett,22,22.0,110.00000000000001,2,1.0,20,2025
AU Rashid,22,11.0,137.5,2,2.0,16,2023
KL Nagarkoti,22,5.5,66.66666666666666,7,4.0,33,2020
Sediqullah Atal,22,22.0,137.5,1,1.0,16,2025
SA Abbott,22,7.333333333333333,122.22222222222223,3,3.0,18,2015
Kumar Kushagra,21,5.25,100.0,4,4.0,21,2026
B Indrajith,21,7.0,70.0,3,3.0,30,2022
DE Bollinger,21,21.0,91.30434782608695,4,1.0,23,2010
M Muralitharan,20,3.3333333333333335,66.66666666666666,9,6.0,30,2012
RR Raje,20,20.0,111.11111111111111,5,1.0,18,2008
S Kaul,20,5.0,55.55555555555556,9,4.0,36,2018
AC Thomas,20,10.0,105.26315789473684,4,2.0,19,2012
C Sakariya,20,3.3333333333333335,64.51612903225806,7,6.0,31,2021
BKG Mendis,20,20.0,200.0,1,1.0,10,2025
NJ Maddinson,20,6.666666666666667,95.23809523809523,3,3.0,21,2014
NT Ellis,19,4.75,76.0,5,4.0,25,2021
JR Hazlewood,19,,65.51724137931035,7,,29,2022
R Bishnoi,19,6.333333333333333,111.76470588235294,3,3.0,17,2009
P Ray Barman,19,19.0,79.16666666666666,1,1.0,24,2019
P Sahu,19,19.0,146.15384615384613,2,1.0,13,2016
Y Gnaneswara Rao,19,19.0,111.76470588235294,1,1.0,17,2011
Gulbadin Naib,19,19.0,126.66666666666666,1,1.0,15,2024
DR Martyn,19,19.0,79.16666666666666,1,1.0,24,2010
RA Bawa,19,9.5,105.55555555555556,3,2.0,18,2022
R Shukla,19,19.0,82.6086956521739,4,1.0,23,2014
A Mukund,19,9.5,86.36363636363636,2,2.0,22,2013
T Banton,18,9.0,90.0,2,2.0,20,2020
DS Lehmann,18,9.0,100.0,2,2.0,18,2008
BJ Haddin,18,18.0,163.63636363636365,1,1.0,11,2011
JJ van der Wath,18,9.0,112.5,3,2.0,16,2011
Naveen-ul-Haq,18,18.0,72.0,4,1.0,25,2023
Saurav Chauhan,18,6.0,120.0,3,3.0,15,2024
KMA Paul,18,3.6,75.0,5,5.0,24,2019
Sumit Kumar,18,9.0,75.0,3,2.0,24,2024
PV Tambe,18,9.0,46.15384615384615,6,2.0,39,2016
R Sai Kishore,18,4.5,112.5,4,4.0,16,2025
Kartik Tyagi,18,3.6,85.71428571428571,7,5.0,21,2020
Harmeet Singh,18,4.5,150.0,4,4.0,12,2012
JA Richardson,17,5.666666666666667,65.38461538461539,3,3.0,26,2021
M Theekshana,17,5.666666666666667,50.0,6,3.0,34,2025
Parvez Rasool,17,8.5,85.0,4,2.0,20,2013
YV Dhull,16,5.333333333333333,69.56521739130434,3,3.0,23,2023
PP Ojha,16,1.3333333333333333,35.55555555555556,19,12.0,45,2012
CK Kapugedera,16,5.333333333333333,69.56521739130434,3,3.0,23,2008
KS Sharma,16,5.333333333333333,64.0,3,3.0,25,2023
AJ Hosein,16,,160.0,1,,10,2023
A Zampa,15,3.0,62.5,5,5.0,24,2023
GR Napier,15,15.0,93.75,1,1.0,16,2009
C Madan,15,15.0,78.94736842105263,1,1.0,19,2010
JL Pattinson,15,15.0,115.38461538461537,2,1.0,13,2020
I Udana,15,5.0,136.36363636363635,4,3.0,11,2020
VY Mahesh,15,7.5,55.55555555555556,5,2.0,27,2008
Virat Singh,15,7.5,57.692307692307686,2,2.0,26,2021
SD Lad,15,15.0,115.38461538461537,1,1.0,13,2019
